epoch,acc,loss,val_acc,val_loss
0,0.6279361,0.726667865816792,0.612500011920929,4.762556076049805
1,0.6580019,0.6250805571147949,0.453125,3.583238363265991
2,0.7181334,0.5768230982869164,0.4248366057872772,5.747476100921631
3,0.74632007,0.5221727022622918,0.48750001192092896,3.807828187942505
4,0.7724419,0.4852974806015999,0.4542483687400818,3.8658385276794434
5,0.7651112,0.4840558454081664,0.778124988079071,0.5423200130462646
6,0.7904792,0.44288356571857584,0.516339898109436,4.2959089279174805
7,0.79736924,0.4516719808184238,0.44999998807907104,2.6918656826019287
8,0.8101067,0.42070350111728183,0.48366013169288635,2.0312976837158203
9,0.8175,0.4008611512929201,0.6000000238418579,0.9203801155090332
10,0.8229755,0.3909190570221184,0.6699346303939819,0.9438864588737488
11,0.8271875,0.37475881829857827,0.4749999940395355,1.9709352254867554
12,0.83898306,0.3591095108728288,0.796875,0.30192893743515015
13,0.8402386,0.3556443384970724,0.7222222089767456,1.0866682529449463
14,0.8462261,0.3542861887141526,0.484375,1.716987133026123
15,0.8396875,0.3580450766533613,0.529411792755127,1.1767264604568481
16,0.8534212,0.33716566117020874,0.6343749761581421,1.036957025527954
17,0.8543689,0.3360467031808098,0.5228758454322815,2.8763906955718994
18,0.8640777,0.32013901033037107,0.7437499761581421,0.08020813763141632
19,0.86626995,0.3162508846411987,0.6143791079521179,1.7336432933807373
20,0.8675227,0.32264858232726507,0.7875000238418579,0.3281511664390564
21,0.87096775,0.30191406074676846,0.6699346303939819,0.0006703268154524267
22,0.8753923,0.30816463974105135,0.8062499761581421,0.8016608953475952
23,0.883182,0.2881237530349901,0.78125,0.2808091938495636
24,0.8766051,0.3042590717536844,0.7777777910232544,0.28156670928001404
25,0.88130283,0.29104067785143295,0.574999988079071,0.9653225541114807
26,0.87222046,0.30427665531056597,0.8464052081108093,1.0410324335098267
27,0.88349515,0.27606527914718665,0.784375011920929,0.8095279335975647
28,0.88261145,0.2885753273571054,0.7352941036224365,1.7768783569335938
29,0.89132476,0.26378658739631167,0.815625011920929,0.39312058687210083
30,0.8759787,0.28488276735055496,0.6143791079521179,1.0837242603302002
31,0.89664894,0.26401242834066396,0.737500011920929,0.299968957901001
32,0.90112996,0.24960006144405233,0.7287581562995911,0.036601532250642776
33,0.89,0.2712726573087275,0.7906249761581421,0.17737244069576263
34,0.891086,0.27118870339076323,0.768750011920929,0.11444716900587082
35,0.90040714,0.25021645121540054,0.8039215803146362,0.6516152620315552
36,0.89978075,0.2556653768850874,0.824999988079071,0.5486208200454712
37,0.89727527,0.2564560241910906,0.8692810535430908,0.37378743290901184
38,0.9047917,0.23637548240232423,0.6468750238418579,0.9063049554824829
39,0.8953962,0.2576641377482786,0.7973856329917908,0.48201704025268555
